wrist_mvmnt_x_median;wrist_mvmnt_x_min;wrist_mvmnt_y_median;wrist_mvmnt_y_min;wrist_mvmnt_y_max;wrist_mvmnt_dist_min;aperiodicity_denoised;aperiodicity_trimmed;periodEntropy_denoised;periodVarianceNorm_denoised;periodVarianceNorm_trimmed;numInterruptions_denoised;numFreeze_denoised;numFreeze_trimmed;maxFreezeDuration_denoised;maxFreezeDuration_trimmed;period_median_denoised;period_quartile_range_denoised;period_min_denoised;period_quartile_range_trimmed;frequency_quartile_range_denoised;frequency_min_denoised;frequency_stdev_denoised;frequency_lr_fitness_r2_denoised;frequency_lr_slope_denoised;frequency_lr_fitness_r2_trimmed;frequency_lr_slope_trimmed;frequency_fit_min_degree_denoised;frequency_fit_min_degree_trimmed;amplitude_median_denoised;amplitude_quartile_range_denoised;amplitude_max_denoised;amplitude_stdev_denoised;amplitude_entropy_denoised;amplitude_stdev_trimmed;amplitude_decrement_fitness_r2_denoised;amplitude_decrement_slope_denoised;amplitude_decrement_end_to_mean_denoised;amplitude_decrement_fit_min_degree_denoised;amplitude_decrement_last_to_first_half_denoised;amplitude_decrement_fitness_r2_trimmed;amplitude_decrement_slope_trimmed;amplitude_decrement_end_to_mean_trimmed;amplitude_decrement_fit_min_degree_trimmed;num_peaks_trimmed;speed_median_denoised;speed_quartile_range_denoised;speed_min_denoised;speed_max_denoised;speed_median_trimmed;speed_min_trimmed;acceleration_min_denoised;acceleration_min_trimmed;label;dataset;filename
4.238080266;0;8.462262092;0;35.88121899;0;1.408848874;1.24557187;0.320929177;0.014489359;0.008446195;0;0;0;0.136657534;0.102493151;0.307479452;0.085410959;0.204986301;0.093952055;1.184748157;2.090732043;0.915096181;0.322408648;0.226772523;0.450601754;0.311950495;7;5;19.80894261;5.453325742;22.50170559;3.780473441;0.367031315;4.027731047;0.076647437;0.048544887;-2.795930399;8;0.316763756;0.230399596;0.123808868;-0.829329586;6;7;61.99240606;142.3967603;0;415.5587538;72.51948433;0;38.64900331;38.64900331;2;1;2019-05-03T17-09-33-963Z100-task2-right.webm
2.353138956;0;5.643571368;0;27.63600399;0;2.073631407;1.723750626;0.487255505;0.059711455;0.06919727;1;0;0;0.23366;0.13352;0.45063;0.18359;0.30042;0.108485;0.919167711;0.855944535;0.752404597;0.023739289;0.050594772;0.379213843;-0.244726599;5;5;25.36347211;16.0234946;40.84545132;7.9170332;0.45350003;8.284409835;0.276753305;0.103331644;3.93477331;6;11.19949985;0.182971731;0.115901866;7.320335124;3;7;59.05436589;154.1340115;1.012386157;894.0239321;66.51688884;1.221020676;3.828037219;3.828037219;2;1;2020-03-18T15-45-58-807Z33-task2-right.webm
2.414284016;0.110869058;12.46466811;0;69.83473625;3.234005244;2.206180323;1.678926814;0.325414328;0.003020905;0.00269932;0;0;0;0.066133333;0.066133333;0.264533333;0.033066667;0.231466667;0.033066667;0.420026882;3.024193548;0.397609261;0.013064015;0.017601126;0.130908808;-0.070290213;8;6;29.41398518;10.81304162;81.41437878;16.13409998;0.518226118;6.530858863;0.517347133;0.478750958;8.57847655;3;13.92803122;0.547627351;0.253364684;9.130578858;4;8;238.1066172;253.8790567;4.468101339;1039.547;226.8130404;4.468101339;41.36676104;41.36676104;1;1;2018-10-08T14-45-31-091Z94-task2-right.webm
22.88292689;0;28.87730149;0;207.7392627;0;1.157454624;1.061825433;0.452998202;0.022750997;0.026310937;1;0;0;0.200355556;0.166962963;0.267140741;0.175311111;0.13357037;0.208703704;3.689868805;2.303597024;1.987839118;0.013740623;-0.057803983;0.032986431;-0.110866665;10;9;20.67837856;7.090881303;28.35496179;4.812184719;0.427330722;4.399584047;0.158007744;-0.053388421;-5.618533244;10;-4.062321173;0.021953563;-0.020627518;4.399503777;9;13;63.7145743;121.0125214;0.161143522;751.9389792;69.02763037;0.161143522;33.85039;33.85039;3;1;NIHXU164EVFHK-task2-2019-12-02T14-13-50-404Z--right.webm
1.203146022;0.04040489;6.464793507;0.129820828;45.05904112;0.698012648;1.986317233;1.278566835;0.256317067;0.016143519;0.000508309;1;0;0;0.298885714;0.066419048;0.232466667;0.033209524;0.232466667;0;0.5377115;1.881990249;0.77145678;0.106671603;0.09758468;0;1.53E-19;4;6;26.3828944;5.718092547;49.52065388;7.907374822;0.490761667;4.28108991;0.733246193;0.302687331;5.274303814;2;9.390811551;0.764404152;0.227159524;6.498040853;3;8;108.3393433;309.5785798;0.227486269;858.0815529;187.2090244;1.846348633;73.47884502;378.7260812;0;1;2018-10-13T18-33-39-530Z2-task2-right.webm
5.755463474;0.857679386;39.75794047;1.725471478;113.545826;3.650634465;2.918103415;2.543797865;0.377062279;0.017623401;0.023382187;0;0;0;0.09964;0.09964;0.232493333;0.04982;0.19928;0.066426667;0.746735868;2.007226014;0.896975023;0.018510975;0.061018988;0.000168976;0.009558219;6;4;40.45314049;20.67856784;62.88492857;13.04274537;0.659484283;11.5130538;0.019823681;-0.091478085;-21.67435954;6;-6.914194369;0.072967486;0.197793253;-12.96448153;4;6;155.8677904;233.0612989;3.284260019;1597.992223;177.7381751;4.23162095;25.32780389;830.6402244;0;1;2018-09-18T19-36-10-630Z45-task2-right.webm
50.05099996;0;23.36986386;0;92.34983416;0;1.946055296;1.637073258;0.317146471;0.018671892;0.00146524;3;1;0;0.30042;0.06676;0.26704;0.03338;0.23366;0.03338;0.475524742;1.576739933;0.721622565;0.101240693;0.072608533;0.011377917;-0.012878795;9;8;50.47137013;10.90832486;62.0377678;8.532572625;0.589734328;6.231827292;0.299254671;0.163460386;18.43208076;8;7.047895226;0.01109568;0.029525786;-7.022265895;6;10;83.45909203;247.297648;0;1350.444376;251.9226293;8.859939592;27.15979939;433.4367779;1;1;NIHRN569XFWML-task2-2019-12-16T16-27-32-824Z--right.webm
4.415095734;0.475293392;11.01296589;0.213767085;46.8213991;0.968456548;1.983220294;1.364268169;0.274421404;0.05020105;0.000422715;0;0;0;0.167394958;0.100436975;0.334789916;0.008369748;0.267831933;0;0.067885177;0.995649264;0.733936261;0.521888551;0.23140225;0.017142857;0.007758306;4;5;32.13799522;5.57474164;40.63570886;4.408174693;0.420322974;3.634020912;0.015113052;-0.018161912;2.274125336;5;-0.283167514;0.22376586;0.08414232;5.313702343;3;7;76.1955508;213.8516828;0;1251.944793;138.8379549;3.347322462;75.41010613;357.5069006;1;1;2017-10-15T15-22-00-517Z19-task2-right.webm
6.689951666;0;9.608863266;0;35.26061397;0;1.273692856;1.083004588;0.428675335;0.057510054;0.005912744;3;0;0;0.272681818;0.204511364;0.477193182;0.068170455;0.3749375;0.085213068;0.300904852;0.752262129;0.512840242;0.179726062;0.084204103;0.061639535;-0.034494673;6;6;39.18331555;4.635589225;44.37399381;3.305717395;0.36497733;3.007588986;0.179970689;0.03195033;0.183895076;5;1.927126961;0.020196063;0.013454449;-2.669966269;6;8;59.47469377;181.3002129;0;785.6578626;74.12822575;0;17.34769217;65.4274469;2;1;2018-10-28T12-51-36-399Z32-task2-right.webm
34.37760307;0;35.39705409;0;204.9317415;0;2.577172043;1.74212611;0.407504429;0.107233956;0.015174897;1;1;0;0.3;0.133333333;0.3;0.1;0.233333333;0.066666667;1.255411255;0.555555556;1.127238382;0.443500179;0.237390135;0.177576418;0.124368687;10;8;27.47248854;4.877038646;40.96169608;7.170051851;0.414773397;6.557740175;0.204717443;-0.081653993;-2.156231823;9;-1.271413883;0.009706807;-0.02356734;-3.426292827;7;10;88.31983637;148.9304089;0.643103792;757.2284184;151.8152507;4.923437592;23.54593599;230.0615315;2;1;NIHGK080AGLJH-task2-2020-03-02T13-52-26-544Z--right.webm
